Game Name,Release Date,Price,Categories,User Tags,Developer,Publisher,Review Level,Review Detail
Terra Invicta,26-Sep-22,$39.99 ,"Simulation, Strategy, Early Access","Strategy, Simulation, Grand Strategy, Historical, 4X, Sandbox, Military, Management, Real-Time with Pause, War, RTS, Moddable, Diplomacy, Alternate History, Singleplayer, Replay Value, Economy, Tactical, Political, Early Access, +, ",Pavonis Interactive,Hooded Horse,Very Positive,"- 80% of the 5,579 user reviews for this game are positive."
"PowerWash Simulator – Warhammer 40,000 Special Pack",27-Feb-24,$7.99 ,"Casual, Indie, Simulation","Indie, Casual, Simulation, Warhammer 40K, Wholesome, Cozy, First-Person, Immersive Sim, Relaxing, Immersive, Atmospheric, Singleplayer, Addictive, 3D, Cartoon, Co-op, Multiplayer, 2D, Nostalgia, Job Simulator, +, ",FuturLab,Square Enix,Mixed,- 42% of the 294 user reviews for this game are positive.
Project Castaway,23-Sep-24,$19.99 ,"Action, Adventure, Casual, Early Access","Exploration, Open World Survival Craft, Sandbox, Survival, RPG, First-Person, Underwater, Open World, Base Building, Action, Realistic, Casual, Building, Crafting, Multiplayer, Co-op, Adventure, Resource Management, Singleplayer, Early Access, +, ",Mardonpol Inc.,Mardonpol Inc.,Mixed,- 69% of the 759 user reviews for this game are positive.
TEVI,29-Nov-23,$29.99 ,"Action, Adventure, Casual, Indie","Metroidvania, Anime, Pixel Graphics, Action-Adventure, Bullet Hell, Story Rich, 2D, Side Scroller, Female Protagonist, Colorful, Singleplayer, Drama, Platformer, Action, Fantasy, Steampunk, Magic, Combat, Exploration, Adventure, +, ",CreSpirit,CreSpirit,Very Positive,"- 89% of the 2,793 user reviews for this game are positive."
Eco,6-Feb-18,$29.99 ,"Indie, Simulation, Early Access","Early Access, Simulation, Building, Sandbox, Economy, Open World Survival Craft, Immersive Sim, Nature, Multiplayer, Base Building, Open World, Crafting, Trading, Transportation, Science, Education, Resource Management, Political Sim, Survival, Stylized, +, ",Strange Loop Games,Strange Loop Games,Very Positive,"- 80% of the 10,324 user reviews for this game are positive."
Snufkin: Melody of Moominvalley,7-Mar-24,$19.99 ,"Adventure, Indie, RPG","Colorful, Puzzle, Funny, RPG, Stylized, 2D, Open World, Atmospheric, Cute, Indie, Adventure, Exploration, Wholesome, Singleplayer, Family Friendly, Stealth, Cozy, Mystery, Cartoony, Hidden Object, +, ",Hyper Games,Raw Fury,Overwhelmingly Positive,"- 97% of the 1,916 user reviews for this game are positive."
High On Life: High On Knife,2-Oct-23,$14.99 ,"Action, Adventure","Adventure, Action, Violent, Gore, +, ","Squanch Games, Inc.","Squanch Games, Inc.",Mixed,- 56% of the 280 user reviews for this game are positive.
Knock on the Coffin Lid,8-Aug-24,$24.99 ,"Adventure, Indie, RPG, Strategy","Roguelike Deckbuilder, Card Battler, Indie, Card Game, Deckbuilding, Roguelike, Roguelite, Turn-Based, Replay Value, Early Access, Singleplayer, Story Rich, RPG, 2D, Adventure, Atmospheric, Difficult, Perma Death, Tactical, Strategy, +, ",RedBoon,RedBoon,Very Positive,"- 85% of the 1,957 user reviews for this game are positive."
The Sims™ 4 Tiny Living Stuff,21-Jan-20,$9.99 ,Simulation,"Simulation, Singleplayer, Character Customization, Action, Classic, Choose Your Own Adventure, Adventure, Building, Realistic, +, ",Maxis,Electronic Arts,Mostly Positive,- 79% of the 119 user reviews for this game are positive.
DYSMANTLE,16-Nov-21,$19.99 ,"Action, Adventure, Indie, RPG, Simulation","Survival, Open World, Crafting, Zombies, RPG, Base Building, Adventure, Exploration, Action, Destruction, Top-Down, Indie, Dystopian, Fishing, Hunting, Sandbox, Loot, Agriculture, Simulation, Atmospheric, +, ",10tons Ltd,10tons Ltd,Very Positive,"- 91% of the 9,614 user reviews for this game are positive."
HITMAN 3 - Deluxe Pack,20-Jan-22,$9.99 ,"Action, Adventure","Action, Adventure, Violent, Gore, Stealth, Singleplayer, Shooter, Third-Person Shooter, Sandbox, +, ",IO Interactive A/S,IO Interactive A/S,Mostly Negative,- 35% of the 256 user reviews for this game are positive.
Chernobylite Complete Edition,28-Jul-21,$29.99 ,"Action, Adventure, Indie, RPG, Simulation","Post-apocalyptic, Survival, Horror, RPG, Atmospheric, Singleplayer, Adventure, Exploration, First-Person, Survival Horror, Base Building, Sci-fi, Simulation, Stealth, Crafting, Action-Adventure, Realistic, Supernatural, Nonlinear, Indie, +, ",The Farm 51,The Farm 51,Very Positive,"- 82% of the 10,533 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Sonic Forces,7-Nov-17,$39.99 ,"Action, Adventure","Great Soundtrack, 3D Platformer, Character Customization, Adventure, Action, Fast-Paced, Platformer, Singleplayer, Colorful, Story Rich, 2D, 2.5D, Memes, Action-Adventure, Family Friendly, Funny, War, Psychological Horror, Cartoony, Anime, +, ",Sonic Team,SEGA,Mixed,"- 61% of the 5,783 user reviews for this game are positive."
